Country,Year,Electricity installed capacity in Total renewable energy (MW),Electricity installed capacity in Hydropower (MW),Electricity installed capacity in Wind (MW),Electricity installed capacity in Solar (MW),Electricity installed capacity in Bioenergy (MW),Electricity installed capacity in Geothermal (MW),Electricity export (GWh),Electricity import (GWh),Electricity final consumption (GWh),"Electricity generation, Total (GWh)",Electricity generated from fossil fuels (GWh),Electricity generated from nuclear power (GWh),Electricity generated from renewable sources (GWh),Electricity generated from hydropower (GWh),"Electricity generated from solar, wind, tide, wave and other sources (GWh)",Electricity generated from biofuels and waste (GWh),Electricity generated from geothermal energy (GWh),Population access to electricity-National (% of population),Population access to electricity-Urban (% of population),Population access to electricity-Rural (% of population),Electricity generation per Capita (KWh),Electricity final consumption per capita (KWh),,,,,,,,,,,,
Algeria,2013,252.60,227.60,0.00,25.00,0.00,0.00,384.00,295.00,40188.00,60121.00,59560.00,0.00,561.00,330.00,231.00,0.00,0.00,99.00,99.70,97.30,1568.20,1048.20,,,,,,,,,,,,
Algeria,2014,263.90,227.60,10.20,26.10,0.00,0.00,877.00,686.00,45751.00,64527.00,63988.00,0.00,539.00,254.00,285.00,0.00,0.00,99.10,99.70,97.50,1649.70,1169.70,,,,,,,,,,,,
Algeria,2015,311.90,227.60,10.20,74.10,0.00,0.00,641.00,610.00,47957.00,68798.00,68576.00,0.00,222.00,145.00,77.00,0.00,0.00,99.20,99.80,97.80,1725.50,1202.80,,,,,,,,,,,,
Algeria,2016,481.90,227.60,10.20,244.10,0.00,0.00,507.00,257.00,52288.00,70997.00,70663.00,0.00,334.00,218.00,116.00,0.00,0.00,99.40,99.80,98.40,1748.40,1287.70,,,,,,,,,,,,
Algeria,2017,663.20,228.00,10.20,425.00,0.00,0.00,918.80,576.00,56376.10,76017.40,75382.00,0.00,635.40,56.30,579.10,0.00,0.00,99.60,99.80,99.00,1839.80,1364.40,,,,,,,,,,,,
Algeria,2018,686.00,228.00,10.00,448.00,0.00,0.00,833.90,742.90,58152.60,76663.10,75880.00,0.00,783.10,117.00,666.10,0.00,0.00,99.60,99.90,99.00,1825.00,1384.30,,,,,,,,,,,,
Algeria,2019,686.00,228.00,10.00,448.00,0.00,0.00,975.80,887.70,59053.70,80234.70,79441.50,0.00,793.20,119.70,673.50,0.00,0.00,99.50,99.80,98.70,1880.00,1383.70,,,,,,,,,,,,
Algeria,2020,686.00,228.00,10.00,448.00,0.00,0.00,1128.90,1047.20,60044.30,84104.50,83299.20,0.00,805.20,122.30,682.90,0.00,0.00,NA,NA,NA,1940.90,1385.60,,,,,,,,,,,,
Angola,2013,948.00,937.20,0.00,10.80,0.00,0.00,0.00,0.00,7087.00,8036.60,3449.00,0.00,4587.60,4587.60,0.00,0.00,0.00,38.20,50.90,17.60,309.10,272.60,,,,,,,,,,,,
Angola,2014,1016.10,953.20,0.00,12.00,51.00,0.00,0.00,0.00,8178.00,9480.00,4439.00,0.00,5041.00,5041.00,0.00,0.00,0.00,32.00,43.50,12.60,352.10,303.80,,,,,,,,,,,,
